Country,Code,Enrollment,GDP,Expenditure,Year
Argentina,ARG,73.2313995361328,423627422092.49,0.914740025997162,2010
Armenia,ARM,52.9891510009766,9260284937.79781,0.378639996051788,2010
Austria,AUT,75.623779296875,392275107258.667,1.58666002750397,2010
Azerbaijan,AZE,19.2600402832031,52909294791.9262,0.390370011329651,2010
Burundi,BDI,3.25461006164551,2032135246.50004,1.22500002384186,2010
Belgium,BEL,67.8290100097656,481420882905.001,1.42053997516632,2010
Benin,BEN,13.7751197814941,9535345011.48797,0.784789979457855,2010
Burkina Faso,BFA,3.57942008972168,10109618964.2848,0.742129981517792,2010
Bulgaria,BGR,57.7951812744141,50682061053.2016,0.579779982566834,2010
Belarus,BLR,79.5781402587891,57222490768.7143,0.926620006561279,2010
Belize,BLZ,21.8678798675537,1738500000.0,0.573780000209808,2010
Bermuda,BMU,30.7487297058105,6634526000.0,0.356539994478226,2010
Barbados,BRB,69.8074417114258,4529928300.0,1.90964996814728,2010
Bhutan,BTN,6.90941190719604,1547991317.81183,0.608120024204254,2010
Central African Republic,CAF,2.67114996910095,2142591375.85053,0.246619999408722,2010
Canada,CAN,61.6558494567871,1617343367486.26,1.90082001686096,2010
Switzerland,CHE,52.9377288818359,598851028906.58,1.25215995311737,2010
Chile,CHL,67.8634262084961,217105420016.533,0.933659970760345,2010
Cameroon,CMR,11.1570196151733,27507499709.071,0.299600005149841,2010
Colombia,COL,39.4133186340332,286563099757.482,1.06684005260468,2010
Cyprus,CYP,48.311580657959,25800247911.9714,1.36278998851776,2010
Czechia,CZE,63.9458808898926,209069940963.177,0.917940020561218,2010
Djibouti,DJI,3.61628007888794,1128611700.3618,0.740859985351563,2010
Denmark,DNK,73.5966720581055,321995279401.502,2.35520005226135,2010
Spain,ESP,75.9109497070313,1422108199783.34,1.12929999828339,2010
Estonia,EST,68.1845092773438,19523477325.6235,1.20129001140594,2010
Ethiopia,ETH,7.48318004608154,29933790334.3418,1.97564995288849,2010
Finland,FIN,93.4478073120117,249424310816.667,2.08303999900818,2010
France,FRA,54.881721496582,2645187882116.67,1.28605997562408,2010
United Kingdom,GBR,58.9233512878418,2491397494467.95,0.973940014839172,2010
Guinea,GIN,10.9002504348755,6853467857.61127,1.33782005310059,2010
Guyana,GUY,11.6994304656982,3432913073.24154,0.193800002336502,2010
Honduras,HND,19.5100593566895,15839344591.9842,0.889750003814697,2010
Croatia,HRV,54.0285301208496,60672093864.787,0.778829991817474,2010
Hungary,HUN,63.7223892211914,132175349953.713,0.965210020542145,2010
Indonesia,IDN,24.0762596130371,755094160363.071,0.451469987630844,2010
India,IND,17.8338851928711,1675615335600.56,1.19758999347687,2010
Ireland,IRL,63.1264381408691,221913560882.367,1.35446000099182,2010
Iceland,ISL,78.8184432983398,13751161917.7398,1.54840004444122,2010
Israel,ISR,65.926139831543,238364092298.023,0.933200001716614,2010
Italy,ITA,65.774299621582,2136099955236.67,0.816089987754822,2010
Jamaica,JAM,26.8155899047852,13220556882.7046,1.39174997806549,2010
Cambodia,KHM,13.9649896621704,11242275198.9783,0.378529995679855,2010
Sri Lanka,LKA,16.3361206054688,58636150709.5507,0.28218999505043,2010
Lithuania,LTU,86.5725708007813,37128694028.243,1.24855005741119,2010
Latvia,LVA,69.0510406494141,23956163076.5575,0.807799994945526,2010
Mexico,MEX,27.5634708404541,1057801295584.05,1.02208995819092,2010
Mali,MLI,6.12980985641479,10689167195.3375,0.799440026283264,2010
Malta,MLT,37.3857612609863,9035927349.8608,1.57671999931335,2010
Mongolia,MNG,52.2935523986816,7189481824.07288,0.310420006513596,2010
Mauritania,MRT,4.36241006851196,5628882266.37767,0.677320003509521,2010
Mauritius,MUS,33.691478729248,10003670690.3497,0.342350006103516,2010
Malawi,MWI,0.715919971466064,6959655570.89098,1.29812002182007,2010
Malaysia,MYS,37.028881072998,255016609232.871,1.71114003658295,2010
Niger,NER,1.37264001369476,7851191899.3408,0.469260007143021,2010
Nicaragua,NIC,16.0733890533447,8758639096.47693,1.17037999629974,2010
Netherlands,NLD,63.7160186767578,847380859016.668,1.55833005905151,2010
Norway,NOR,73.4938583374023,428757038466.841,1.99974000453949,2010
Nepal,NPL,14.3399000167847,16002656434.4746,0.502489984035492,2010
New Zealand,NZL,143.93000793457,146517541181.254,1.88724005222321,2010
Poland,POL,74.7552490234375,475696613935.595,1.15448999404907,2010
Portugal,PRT,65.60205078125,238113003233.284,1.08889997005463,2010
Paraguay,PRY,34.6302108764648,27260886405.2263,0.698459982872009,2010
Romania,ROU,63.9954414367676,170029359010.667,0.984799981117249,2010
Rwanda,RWA,5.92990016937256,6121529488.49049,1.12612998485565,2010
Senegal,SEN,7.5914101600647,16121314670.9653,1.37602996826172,2010
El Salvador,SLV,26.1139793395996,18447920000.0,0.426620006561279,2010
Serbia,SRB,49.0827217102051,41819468691.8251,1.33385002613068,2010
Slovenia,SVN,89.153190612793,48208240226.4501,1.33759999275208,2010
Sweden,SWE,73.6731109619141,495812558843.31,1.92183005809784,2010
Chad,TCD,2.09606003761292,10668102734.8132,0.391609996557236,2010
Togo,TGO,9.33594036102295,3429461495.41335,0.740059971809387,2010
Thailand,THA,50.3747406005859,341104820155.464,0.579540014266968,2010
Tajikistan,TJK,22.8998394012451,5642178579.58438,0.403690010309219,2010
Tunisia,TUN,35.4190292358398,46206091937.9628,1.76217997074127,2010
Tanzania,TZA,2.14805006980896,32014247547.5146,1.30798995494843,2010
Uganda,UGA,4.06321001052856,26673441667.2815,0.254590004682541,2010
Vietnam,VNM,22.8208599090576,147201163802.554,0.924910008907318,2010
South Africa,ZAF,18.3626308441162,417365076968.257,0.679589986801147,2010
Zimbabwe,ZWE,6.69837999343872,12041655180.0,0.450210005044937,2010
